Unnamed: 0,Neighbourhood,Neighbourhood Latitude,Neighbourhood Longitude,Venue,id,Venue Latitude,Venue Longitude,Venue Category,ratings
46,Chinatown,40.71561842231432,-73.99427936255978,WOON,4c00402d369476b021218f1f,40.71608055070792,-73.99168134841135,Salon / Barbershop,8.5
47,Chinatown,40.71561842231432,-73.99427936255978,Forgtmenot,4fd38a04e4b065401a9aaf88,40.7144587613216,-73.9915463794752,New American Restaurant,8.9
48,Chinatown,40.71561842231432,-73.99427936255978,Little Sheep Mongolian Hot Pot,57a29225498e96334ebe06d9,40.71763897806861,-73.99518735688362,Hotpot Restaurant,8.6
49,Chinatown,40.71561842231432,-73.99427936255978,Teado,4b2ebc57f964a520e3e524e3,40.717184229285884,-73.99488329887392,Bubble Tea Shop,8.2
50,Chinatown,40.71561842231432,-73.99427936255978,Sam's Fried Ice Cream,58f25962c5b11c7b5a2192de,40.71581408226115,-73.99145645060749,Ice Cream Shop,8.7
51,Chinatown,40.71561842231432,-73.99427936255978,Yaya Tea Garden,4a023f1df964a52040711fe3,40.71617656047733,-73.9949019921924,Tea Room,8.2
52,Chinatown,40.71561842231432,-73.99427936255978,Cervo's,59480a78f62e090a3b4d6eb7,40.714762540056384,-73.99145547895716,Spanish Restaurant,8.3
53,Chinatown,40.71561842231432,-73.99427936255978,Sky Ting Yoga,5cbe4ef7e679bc002c14f590,40.715352,-73.992666,Yoga Studio,8.5
54,Chinatown,40.71561842231432,-73.99427936255978,Chinatown Soup,54e0da16498e94a8f0d9de0f,40.71518422476716,-73.99171537302827,Historic Site,8.4
55,Chinatown,40.71561842231432,-73.99427936255978,Chop Suey Club,573151a0498e6b3ca1939e51,40.716192,-73.991359,Boutique,8.0
56,Chinatown,40.71561842231432,-73.99427936255978,Ling Kee,4b89ac72f964a520e94a32e3,40.714713,-73.991538,Asian Restaurant,8.3
57,Chinatown,40.71561842231432,-73.99427936255978,Off The Bridge,557c335b498ec492c5d567dd,40.7156224031629,-73.99423665033953,Bike Shop,8.6
58,Chinatown,40.71561842231432,-73.99427936255978,Coming Soon,535f8dc4498eab7f9ee19f7f,40.71573798248132,-73.99144123696132,Furniture / Home Store,8.5
59,Chinatown,40.71561842231432,-73.99427936255978,The Commissary,572bcbaa498e16431ad34a61,40.71500419213064,-73.99100963130398,American Restaurant,8.0
60,Chinatown,40.71561842231432,-73.99427936255978,Mian Tian Sing Hair Salon,4bd763f30b779c74411005a0,40.71663017749777,-73.99732784630237,Salon / Barbershop,9.4
